x,u
0.000000e+000,1.000000e+000
1.000000e-002,4.071306e-001
2.000000e-002,2.166216e-001
3.000000e-002,1.546214e-001
4.000000e-002,1.194368e-001
5.000000e-002,9.668524e-002
6.000000e-002,8.084434e-002
7.000000e-002,6.914030e-002
8.000000e-002,6.014076e-002
9.000000e-002,5.300420e-002
1.000000e-001,4.720645e-002
1.100000e-001,4.240357e-002
1.200000e-001,3.836037e-002
1.300000e-001,3.491050e-002
1.400000e-001,3.193300e-002
1.500000e-001,2.933776e-002
1.600000e-001,2.705628e-002
1.700000e-001,2.503556e-002
1.800000e-001,2.323392e-002
1.900000e-001,2.161817e-002
2.000000e-001,2.016151e-002
2.100000e-001,1.884210e-002
2.200000e-001,1.764191e-002
2.300000e-001,1.654599e-002
2.400000e-001,1.554179e-002
2.500000e-001,1.461870e-002
2.600000e-001,1.376771e-002
2.700000e-001,1.298112e-002
2.800000e-001,1.225227e-002
2.900000e-001,1.157541e-002
3.000000e-001,1.094554e-002
3.100000e-001,1.035829e-002
3.200000e-001,9.809817e-003
3.300000e-001,9.296722e-003
3.400000e-001,8.816011e-003
3.500000e-001,8.365014e-003
3.600000e-001,7.941356e-003
3.700000e-001,7.542906e-003
3.800000e-001,7.167755e-003
3.900000e-001,6.814183e-003
4.000000e-001,6.480638e-003
4.100000e-001,6.165712e-003
4.200000e-001,5.868132e-003
4.300000e-001,5.586736e-003
4.400000e-001,5.320466e-003
4.500000e-001,5.068354e-003
4.600000e-001,4.829515e-003
4.700000e-001,4.603135e-003
4.800000e-001,4.388467e-003
4.900000e-001,4.184821e-003
5.000000e-001,3.991563e-003
5.100000e-001,3.808104e-003
5.200000e-001,3.633901e-003
5.300000e-001,3.468448e-003
5.400000e-001,3.311277e-003
5.500000e-001,3.161953e-003
5.600000e-001,3.020069e-003
5.700000e-001,2.885246e-003
5.800000e-001,2.757132e-003
5.900000e-001,2.635395e-003
6.000000e-001,2.519727e-003
6.100000e-001,2.409838e-003
6.200000e-001,2.305456e-003
6.300000e-001,2.206326e-003
6.400000e-001,2.112209e-003
6.500000e-001,2.022879e-003
6.600000e-001,1.938124e-003
6.700000e-001,1.857745e-003
6.800000e-001,1.781553e-003
6.900000e-001,1.709372e-003
7.000000e-001,1.641032e-003
7.100000e-001,1.576377e-003
7.200000e-001,1.515258e-003
7.300000e-001,1.457532e-003
7.400000e-001,1.403067e-003
7.500000e-001,1.351736e-003
7.600000e-001,1.303420e-003
7.700000e-001,1.258006e-003
7.800000e-001,1.215388e-003
7.900000e-001,1.175463e-003
8.000000e-001,1.138137e-003
8.100000e-001,1.103318e-003
8.200000e-001,1.070921e-003
8.300000e-001,1.040864e-003
8.400000e-001,1.013070e-003
8.500000e-001,9.874661e-004
8.600000e-001,9.639838e-004
8.700000e-001,9.425575e-004
8.800000e-001,9.231255e-004
8.900000e-001,9.056294e-004
9.000000e-001,8.900139e-004
9.100000e-001,8.762269e-004
9.200000e-001,8.642191e-004
9.300000e-001,8.539439e-004
9.400000e-001,8.453575e-004
9.500000e-001,8.384188e-004
9.600000e-001,8.330867e-004
9.700000e-001,8.293362e-004
9.800000e-001,8.270704e-004
9.900000e-001,8.265905e-004
